"numcode","VMAR_Group","ccode","country","VMAR_Region","year","GPOP","CPOP","GPRO","LANG","CUSTOM","BELIEF","RELIGS1","RACE","GROUPCON","GC119","GC2","GC6B","GC7","GC10","GC11","AUTLOST","YEARWT","MAGN","PRSTAT","AUTONEND","TRANSYR","SEPX","SEPKIN","EMIG","DISPLACE","POLDIS","ECDIS","CULPO1","CULPO2","GOJPA","AUTON2","AUTGAIN","AUTPRO","LEGISREP","EXECREP","GUARREP","POLGR","ECGR","CULGR","KINSUP","KINMATSUP","KINPOLSUP","KINMILSUP","STASUP","STAMATSUP","STAPOLSUP","STAMILSUP","NSASUP","NSAMATSUP","NSAPOLSUP","NSAMILSUP","INTRACON","FACTCC1","FACTSEV1","FACTCC2","FACTSEV2","FACTCC3","FACTSEV3","INTERCON","CCGROUP1","CCGROUPSEV1","CCGROUP2","CCGROUPSEV2","CCGROUP3","CCGROUPSEV3","PROT","REB","REPGENCIV","REPNVIOL","REPVIOL"
13502,"Indigenous Highland Peoples",135,"Peru","Latin America and the Caribbean",2004,10678761,27665184,0.386,1,1,0,1,2,2,2,1,2,2,2,1,1,5,3,3,"1532","1821",1,1,0,0,2,3,0,1,3,0,-99,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,4,2,1,0,4
13502,"Indigenous Highland Peoples",135,"Peru","Latin America and the Caribbean",2005,10827727,28051105,0.386,1,1,0,1,2,2,2,1,2,2,2,1,1,5,3,3,"1532","1821",1,1,0,0,2,3,0,1,3,0,-99,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,"Sendero Luminoso vs. Villagers",1,"","0","","0",0,"",0,"",0,"",0,3,2,1,0,4
13502,"Indigenous Highland Peoples",135,"Peru","Latin America and the Caribbean",2006,10974978,28432585,0.386,1,1,0,1,2,2,2,1,2,2,2,2,1,5,3,3,"1532","1821",1,1,0,0,2,3,0,1,3,0,-99,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,0,-99,1,0,-99
13503,"Lowland Indigenous Peoples",135,"Peru","Latin America and the Caribbean",2004,359647,27665184,0.013,1,1,2,9,3,3,1,0,0,0,1,1,0.6,5,3,1,"18-19th cent.","1821",0,1,0,0,2,3,0,1,2,0,-99,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,1,1,0,0,0
13503,"Lowland Indigenous Peoples",135,"Peru","Latin America and the Caribbean",2005,364664,28051105,0.013,1,1,2,9,3,3,1,0,0,0,1,1,0.6,5,3,1,"18-19th cent.","1821",0,1,0,0,2,3,0,1,2,0,-99,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",1,"Journalists",1,"",0,"",0,0,0,0,0,0
13503,"Lowland Indigenous Peoples",135,"Peru","Latin America and the Caribbean",2006,369624,28432585,0.013,1,1,2,9,3,3,1,0,0,0,1,1,0.6,5,3,1,"18-19th cent.","1821",0,1,0,0,2,3,0,1,2,0,-99,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",1,"Sendero Luminoso",1,"",0,"",0,2,0,0,2,0
14001,"Afro-Brazilians",140,"Brazil","Latin America and the Caribbean",2004,11431751,186488596,0.0613,0,1,0,1,2,1,4,0,0,0,1,2,0,5,1,0,"-99","1822",0,1,0,0,3,3,0,0,2,0,-99,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"",0,"","0","","0",0,"-99",0,"-99",0,"-99",0,0,0,0,0,0
14001,"Afro-Brazilians",140,"Brazil","Latin America and the Caribbean",2005,11585276,188993079,0.0613,0,1,0,1,2,1,4,0,0,0,1,2,0,5,1,0,"-99","1822",0,1,0,0,3,3,0,0,2,0,-99,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"",0,"","0","","0",0,"-99",0,"-99",0,"-99",0,0,0,0,0,0
14001,"Afro-Brazilians",140,"Brazil","Latin America and the Caribbean",2006,11737050,191469007,0.0613,0,1,0,1,2,1,4,0,0,0,1,2,0,5,1,0,"-99","1822",0,1,0,0,3,3,0,0,2,0,-99,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"",0,"","0","","0",0,"-99",0,"-99",0,"-99",0,0,0,0,0,0
14002,"Amazonian Indians",140,"Brazil","Latin America and the Caribbean",2004,354328,186488596,0.0019,1,1,2,9,3,2,2,1,2,2,3,1,0.6,5,3,1,"16th century","1822",3,1,0,0,4,3,0,0,3,1,-99,-99,0,0,0,3,2,1,1,0,1,0,0,0,0,0,1,1,0,0,0,"-99",0,"-99","0","-99","0",1,"Ranchers/Miners",5,"Non-Indian Settler",0,"-99",0,2,0,0,0,0
